,Arévalo,Milei,Arce,Lula,Boric,Petro,Chaves,Díaz-Canel,Scholz,Abinader,Noboa,Macron,Sunak,Castro,Meloni,Obrador,Cortizo,Peña,Bukele,Lacalle Pou,Biden,Maduro
Arévalo,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Arce,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Lula,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1
Boric,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
Petro,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Chaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Díaz-Canel,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Scholz,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Abinader,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Noboa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macron,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Sunak,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Castro,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1
Meloni,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Obrador,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Cortizo,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Peña,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
Bukele,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lacalle Pou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Biden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maduro,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOMA,0,4,8,9,7,8,2,6,3,2,1,5,0,6,3,10,3,4,4,3,8,6
